RecordType	TableSchema	TableName	ColumnName	Type	Length	Prec	Scale	Nullable	IsIdentity	IndexName	IndexType	KeyOrdinal	IsIncluded	IsPrimaryKey	IsUnique
COL	APP	SERIAL_HISTORICO	CD_SERIAL	int	4	10	0	NO	NO						
COL	APP	SERIAL_HISTORICO	CD_STATUS	bit	1	1	0	NO	NO						
COL	APP	SERIAL_HISTORICO	CD_USUARIO_CRIACAO	int	4	10	0	NO	NO						
COL	APP	SERIAL_HISTORICO	CD_USUARIO_EXCLUSAO	int	4	10	0	YES	NO						
COL	APP	SERIAL_HISTORICO	DATA_CRIACAO	datetime	8	23	3	NO	NO						
COL	APP	SERIAL_HISTORICO	DATA_EXCLUSAO	datetime	8	23	3	YES	NO						
COL	APP	SERIAL_HISTORICO	DATA_FIM	datetime2	8	27	7	NO	NO						
COL	APP	SERIAL_HISTORICO	DATA_INICIO	datetime2	8	27	7	NO	NO						
COL	APP	SERIAL_HISTORICO	NOME	varchar	100	0	0	NO	NO						
COL	APP	SERIAL_HISTORICO	SERIAL	varchar	200	0	0	NO	NO						
IDX	APP	SERIAL_HISTORICO	CD_CONCESSAO	nvarchar	64	0	0	NO	NO	IX_SERIAL_HISTORICO_TENANT	NONCLUSTERED	1	NO	NO	NO
IDX	APP	SERIAL_HISTORICO	CD_CONCESSAO	nvarchar	64	0	0	NO	NO	IX_SERIAL_HISTORICO_TENANT_AGENCIA	NONCLUSTERED	1	NO	NO	NO
IDX	APP	SERIAL_HISTORICO	CD_AGENCIA	nvarchar	32	0	0	YES	NO	IX_SERIAL_HISTORICO_TENANT_AGENCIA	NONCLUSTERED	2	NO	NO	NO
COL	APP	SERIAL_RECURSO	CD_AGENCIA	int	4	10	0	YES	NO						
COL	APP	SERIAL_RECURSO	CD_CONCESSAO	int	4	10	0	NO	NO						
COL	APP	SERIAL_RECURSO	CD_RECURSO	int	4	10	0	NO	NO						
COL	APP	SERIAL_RECURSO	CD_SERIAL	int	4	10	0	NO	NO						
COL	APP	SERIAL_RECURSO	CD_SERIAL_RECURSO	int	4	10	0	NO	YES						
COL	APP	SERIAL_RECURSO	CD_STATUS	bit	1	1	0	NO	NO						
COL	APP	SERIAL_RECURSO	CD_USUARIO_CRIACAO	int	4	10	0	NO	NO						
COL	APP	SERIAL_RECURSO	DATA_CRIACAO	datetime	8	23	3	NO	NO						
IDX	APP	SERIAL_RECURSO	CD_CONCESSAO	int	4	10	0	NO	NO	IX_SERIAL_RECURSO_TENANT_AGENCIA	NONCLUSTERED	1	NO	NO	NO
IDX	APP	SERIAL_RECURSO	CD_AGENCIA	int	4	10	0	YES	NO	IX_SERIAL_RECURSO_TENANT_AGENCIA	NONCLUSTERED	2	NO	NO	NO
IDX	APP	SERIAL_RECURSO	CD_SERIAL_RECURSO	int	4	10	0	NO	NO	PK_APP_SERIAL_RECURSO	CLUSTERED	1	NO	YES	YES
COL	APP	SOLICITACAO_RECURSO	ATIVIDADE	varchar	20	0	0	YES	NO						
COL	APP	SOLICITACAO_RECURSO	BL_STATUS	bit	1	1	0	NO	NO						
COL	APP	SOLICITACAO_RECURSO	CD_AGENCIA	int	4	10	0	YES	NO						
COL	APP	SOLICITACAO_RECURSO	CD_BASE_OPERACIONAL	int	4	10	0	NO	NO						
COL	APP	SOLICITACAO_RECURSO	CD_CONCESSAO	int	4	10	0	NO	NO						
COL	APP	SOLICITACAO_RECURSO	CD_FUNCIONARIO_2	int	4	10	0	YES	NO						
COL	APP	SOLICITACAO_RECURSO	CD_FUNCIONARIO_3	int	4	10	0	YES	NO						
COL	APP	SOLICITACAO_RECURSO	CD_FUNCIONARIO_MOTORISTA	int	4	10	0	NO	NO						
COL	APP	SOLICITACAO_RECURSO	CD_RECURSO	int	4	10	0	NO	NO						
COL	APP	SOLICITACAO_RECURSO	CD_RECURSO_ATIVIDADE	int	4	10	0	YES	NO						
COL	APP	SOLICITACAO_RECURSO	CD_REDE	int	4	10	0	YES	NO						
COL	APP	SOLICITACAO_RECURSO	CD_ROTA	int	4	10	0	YES	NO						
COL	APP	SOLICITACAO_RECURSO	CD_SOLICITACAO_RECURSO	int	4	10	0	NO	YES						
COL	APP	SOLICITACAO_RECURSO	CD_TIPO_SOLICITACAO_RECURSO	smallint	2	5	0	YES	NO						
COL	APP	SOLICITACAO_RECURSO	CD_TIPO_STATUS_SOLICITACAO	tinyint	1	3	0	NO	NO						
COL	APP	SOLICITACAO_RECURSO	CD_USUARIO	int	4	10	0	NO	NO						
COL	APP	SOLICITACAO_RECURSO	DH_ATUALIZACAO	datetime	8	23	3	YES	NO						
COL	APP	SOLICITACAO_RECURSO	DH_FIM_ATIVIDADE	datetime	8	23	3	YES	NO						
COL	APP	SOLICITACAO_RECURSO	DH_INICIO_ATIVIDADE	datetime	8	23	3	YES	NO						
COL	APP	SOLICITACAO_RECURSO	DH_TIMESTAMP	datetime	8	23	3	NO	NO						
COL	APP	SOLICITACAO_RECURSO	HODOMETRO_FINAL	int	4	10	0	YES	NO						
COL	APP	SOLICITACAO_RECURSO	HODOMETRO_INICIAL	int	4	10	0	YES	NO						
IDX	APP	SOLICITACAO_RECURSO	CD_CONCESSAO	int	4	10	0	NO	NO	IX_SOLICITACAO_RECURSO_TENANT_AGENCIA	NONCLUSTERED	1	NO	NO	NO
IDX	APP	SOLICITACAO_RECURSO	CD_AGENCIA	int	4	10	0	YES	NO	IX_SOLICITACAO_RECURSO_TENANT_AGENCIA	NONCLUSTERED	2	NO	NO	NO
IDX	APP	SOLICITACAO_RECURSO	CD_SOLICITACAO_RECURSO	int	4	10	0	NO	NO	PK_APP_SOLICITACAO_RECURSO	CLUSTERED	1	NO	YES	YES
COL	APP	SOLICITACAO_RECURSO_PARADA	BL_STATUS	bit	1	1	0	NO	NO						
COL	APP	SOLICITACAO_RECURSO_PARADA	CD_AGENCIA	int	4	10	0	YES	NO						
COL	APP	SOLICITACAO_RECURSO_PARADA	CD_BASE_OPERACIONAL	int	4	10	0	YES	NO						
COL	APP	SOLICITACAO_RECURSO_PARADA	CD_CONCESSAO	int	4	10	0	NO	NO						
COL	APP	SOLICITACAO_RECURSO_PARADA	CD_FUNCIONARIO	int	4	10	0	YES	NO						
COL	APP	SOLICITACAO_RECURSO_PARADA	CD_RECURSO	int	4	10	0	NO	NO						
COL	APP	SOLICITACAO_RECURSO_PARADA	CD_RECURSO_PARADA	int	4	10	0	YES	NO						
COL	APP	SOLICITACAO_RECURSO_PARADA	CD_RODOVIA	int	4	10	0	NO	NO						
COL	APP	SOLICITACAO_RECURSO_PARADA	CD_SOLICITACAO_RECURSO_PARADA	int	4	10	0	NO	YES						
COL	APP	SOLICITACAO_RECURSO_PARADA	CD_TIPO_PARADA	int	4	10	0	NO	NO						
COL	APP	SOLICITACAO_RECURSO_PARADA	CD_TIPO_SOLICITACAO_RECURSO	smallint	2	5	0	NO	NO						
COL	APP	SOLICITACAO_RECURSO_PARADA	CD_TIPO_STATUS_SOLICITACAO	tinyint	1	3	0	NO	NO						
COL	APP	SOLICITACAO_RECURSO_PARADA	CD_USUARIO	int	4	10	0	NO	NO						
COL	APP	SOLICITACAO_RECURSO_PARADA	DH_ATUALIZACAO	datetime	8	23	3	YES	NO						
COL	APP	SOLICITACAO_RECURSO_PARADA	DH_FIM_PARADA	datetime	8	23	3	YES	NO						
COL	APP	SOLICITACAO_RECURSO_PARADA	DH_INICIO_PARADA	datetime	8	23	3	NO	NO						
COL	APP	SOLICITACAO_RECURSO_PARADA	DH_PREVISTA	datetime	8	23	3	YES	NO						
COL	APP	SOLICITACAO_RECURSO_PARADA	DH_TIMESTAMP	datetime	8	23	3	NO	NO						
COL	APP	SOLICITACAO_RECURSO_PARADA	KM	int	4	10	0	YES	NO						
COL	APP	SOLICITACAO_RECURSO_PARADA	LATITUDE	decimal	9	18	14	YES	NO						
COL	APP	SOLICITACAO_RECURSO_PARADA	LONGITUDE	decimal	9	18	14	YES	NO						
COL	APP	SOLICITACAO_RECURSO_PARADA	METRO	int	4	10	0	YES	NO						
COL	APP	SOLICITACAO_RECURSO_PARADA	OBSERVACAO	varchar	200	0	0	YES	NO						
COL	APP	SOLICITACAO_RECURSO_PARADA	TEMPO_PARADA	int	4	10	0	YES	NO						
IDX	APP	SOLICITACAO_RECURSO_PARADA	CD_CONCESSAO	int	4	10	0	NO	NO	IX_SOLICITACAO_RECURSO_PARADA_TENANT_AGENCIA	NONCLUSTERED	1	NO	NO	NO
IDX	APP	SOLICITACAO_RECURSO_PARADA	CD_AGENCIA	int	4	10	0	YES	NO	IX_SOLICITACAO_RECURSO_PARADA_TENANT_AGENCIA	NONCLUSTERED	2	NO	NO	NO
IDX	APP	SOLICITACAO_RECURSO_PARADA	CD_SOLICITACAO_RECURSO_PARADA	int	4	10	0	NO	NO	PK_APP_SOLICITACAO_RECURSO_PARADA	CLUSTERED	1	NO	YES	YES
COL	APP	TIPO_SOLICITACAO_RECURSO	BL_STATUS	bit	1	1	0	NO	NO						
COL	APP	TIPO_SOLICITACAO_RECURSO	CD_AGENCIA	int	4	10	0	YES	NO						
COL	APP	TIPO_SOLICITACAO_RECURSO	CD_CONCESSAO	int	4	10	0	NO	NO						
COL	APP	TIPO_SOLICITACAO_RECURSO	CD_TIPO_SOLICITACAO_RECURSO	smallint	2	5	0	NO	YES						
COL	APP	TIPO_SOLICITACAO_RECURSO	DH_TIMESTAMP	datetime	8	23	3	NO	NO						
COL	APP	TIPO_SOLICITACAO_RECURSO	NOME	varchar	200	0	0	NO	NO						
IDX	APP	TIPO_SOLICITACAO_RECURSO	CD_CONCESSAO	int	4	10	0	NO	NO	IX_TIPO_SOLICITACAO_RECURSO_TENANT_AGENCIA	NONCLUSTERED	1	NO	NO	NO
IDX	APP	TIPO_SOLICITACAO_RECURSO	CD_AGENCIA	int	4	10	0	YES	NO	IX_TIPO_SOLICITACAO_RECURSO_TENANT_AGENCIA	NONCLUSTERED	2	NO	NO	NO
IDX	APP	TIPO_SOLICITACAO_RECURSO	CD_TIPO_SOLICITACAO_RECURSO	smallint	2	5	0	NO	NO	PK_APP_TIPO_SOLICITACAO_RECURSO	CLUSTERED	1	NO	YES	YES
COL	APP	TIPO_STATUS_SOLICITACAO	BL_STATUS	bit	1	1	0	NO	NO						
COL	APP	TIPO_STATUS_SOLICITACAO	CD_AGENCIA	int	4	10	0	YES	NO						
COL	APP	TIPO_STATUS_SOLICITACAO	CD_CONCESSAO	int	4	10	0	NO	NO						
COL	APP	TIPO_STATUS_SOLICITACAO	CD_TIPO_STATUS_SOLICITACAO	tinyint	1	3	0	NO	YES						
COL	APP	TIPO_STATUS_SOLICITACAO	NOME	varchar	20	0	0	NO	NO						
IDX	APP	TIPO_STATUS_SOLICITACAO	CD_CONCESSAO	int	4	10	0	NO	NO	IX_TIPO_STATUS_SOLICITACAO_TENANT_AGENCIA	NONCLUSTERED	1	NO	NO	NO
IDX	APP	TIPO_STATUS_SOLICITACAO	CD_AGENCIA	int	4	10	0	YES	NO	IX_TIPO_STATUS_SOLICITACAO_TENANT_AGENCIA	NONCLUSTERED	2	NO	NO	NO
